OBJECTID,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vintage,Total Population,White Alone Not Hispanic or Latino,Black or African American Alone Not Hispanic or Latino,American Indian and Alaska Native Alone Not Hispanic or Latino,Asian Alone Not Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone Not Hispanic or Latino,Some Other Race Alone Not Hispanic or Latino,Two or More Races Not Hispanic or Latino,Hispanic or Latino (of any race),White Alone Hispanic or Latino,Black or African American Alone Hispanic or Latino,American Indian and Alaska Native Alone Hispanic or Latino,Asian Alone Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone Hispanic or Latino,Some Other Race Alone Hispanic or Latino,Two or More Races Hispanic or Latino,Person of Color,White in combination with one or more other races,Black or African American in combination with one or more other races,American Indian and Alaska Native in combination with one or more other races,Asian in combination with one or more other races,Native Hawaiian and Other Pacific Islander in combination with one or more other races,Some Other Race in combination with one or more other races,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Percent Persons of Color,NEIGH_NO,Neighborhood Type (outside comp plan areas id)
11,Alki/Admiral,CRA,Southwest,5Y23,12086,9273,788,49,877,2,68,569,460,129,5,0,0,0,69,257,2813,729,221,104,352,0,278,9402,793,49,877,2,137,826,23.3,1.4,CRA
12,North Delridge,CRA,Delridge Neighborhoods,5Y23,5803,3343,482,0,647,15,0,760,556,134,0,0,15,0,349,58,2460,790,260,110,249,0,258,3477,482,0,662,15,349,818,42.4,2.1,CRA
13,High Point,CRA,Delridge Neighborhoods,5Y23,9232,3545,2941,67,1212,18,109,554,786,206,0,40,0,0,110,430,5687,849,315,179,215,0,441,3751,2941,107,1212,18,219,984,61.6,2.2,CRA
14,Riverview,CRA,Delridge Neighborhoods,5Y23,5023,2469,475,1,968,0,0,740,370,72,0,1,0,0,117,180,2554,875,166,157,472,60,195,2541,475,2,968,0,117,920,50.8,2.3,CRA
15,Roxhill/Westwood,CRA,Delridge Neighborhoods,5Y23,13984,7377,1150,49,1686,28,42,1103,2549,223,63,6,9,0,1185,1063,6607,1935,566,304,478,180,1098,7600,1213,55,1695,28,1227,2166,47.2,2.4,CRA
16,Highland Park,CRA,Delridge Neighborhoods,5Y23,8152,3606,937,57,1203,308,34,793,1214,148,0,0,157,0,573,336,4546,888,498,302,460,0,183,3754,937,57,1360,308,607,1129,55.8,2.5,CRA
17,South Park,CRA,Greater Duwamish,5Y23,4060,1383,464,48,975,7,34,211,938,124,0,185,8,0,355,266,2677,420,117,104,148,0,285,1507,464,233,983,7,389,477,65.9,3.1,CRA
18,Georgetown,CRA,Greater Duwamish,5Y23,1181,780,22,2,97,0,0,120,160,40,0,0,25,0,6,89,401,147,75,100,34,0,62,820,22,2,122,0,6,209,34,3.2,CRA
19,Duwamish/SODO,CRA,Greater Duwamish,5Y23,3364,1608,225,43,634,49,0,439,366,49,0,27,0,0,111,179,1756,532,82,151,190,139,184,1657,225,70,634,49,111,618,52.2,3.3,CRA
20,South Beacon Hill/NewHolly,CRA,Greater Duwamish,5Y23,15610,2282,3819,81,7530,19,113,728,1038,51,0,153,0,0,487,347,13328,936,341,258,381,38,361,2333,3819,234,7530,19,600,1075,85.4,3.4,CRA
